,,DDRC_DurDeb.TCD_tiBstPrtTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiEngPrtTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiEngPrtTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiInjSysTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiInjSysTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiLimInfoDebDef_C,,,
,,DDRC_DurDeb.TCD_tiLimInfoDebOk_C,,,
,,DDRC_DurDeb.TCD_tiNTCTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiNTCTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiPDiffTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiPDiffTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiPrfmLimTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiPrfmLimTrqLimDebOk_C,,,
,,DDRC_DurDeb.TCD_tiSmkTrqLimDebDef_C,,,
,,DDRC_DurDeb.TCD_tiSmkTrqLimDebOk_C,,,
,,DDRC_DurDeb.TClntDspl_tiOLDebDef_C,,,
,,DDRC_DurDeb.TClntDspl_tiOLDebOk_C,,,
,,DDRC_DurDeb.TClntDspl_tiOvrTempDebDef_C,,,
,,DDRC_DurDeb.TClntDspl_tiOvrTempDebOk_C,,,
,,DDRC_DurDeb.TClntDspl_tiSCBDebDef_C,,,
,,DDRC_DurDeb.TClntDspl_tiSCBDebOk_C,,,
,,DDRC_DurDeb.TClntDspl_tiSCGDebDef_C,,,
,,DDRC_DurDeb.TClntDspl_tiSCGDebOk_C,,,
,,DDRC_DurDeb.VehV_tiMaxDebDef_C,,,
,,DDRC_DurDeb.VehV_tiMaxDebOk_C,,,
,,DDRC_DurDeb.VehV_tiPhysRngHiDebDef_C,,,
,,DDRC_DurDeb.VehV_tiPhysRngHiDebOk_C,,,
,,DDRC_DurDeb.VehV_tiPhysRngLoDebDef_C,,,
,,DDRC_DurDeb.VehV_tiPhysRngLoDebOk_C,,,
,,DDRC_DurDeb.VehV_tiPlaDebDef_C,,,
,,DDRC_DurDeb.VehV_tiPlaDebOk_C,,,
,,DDRC_DurDeb.VehV_tiSigDebDef_C,,,
,,DDRC_DurDeb.VehV_tiSigDebOk_C,,,
,,DDRC_DurDeb.VehV_tiSRCHiDebDef_C,,,
,,DDRC_DurDeb.VehV_tiSRCHiDebOk_C,,,
,,DDRC_DurDeb.VehV_tiSRCLoDebDef_C,,,
,,DDRC_DurDeb.VehV_tiSRCLoDebOk_C,,,
,,DDRC_DurDeb.VehV_tiSRCNplDebDef_C,,,
,,DDRC_DurDeb.VehV_tiSRCNplDebOk_C,,,
,,DDRC_DurDeb.VehV_tiTachMaxDebDef_C,,,
,,DDRC_DurDeb.VehV_tiTachMaxDebOk_C,,,
,,DDRC_DurDeb.VehV_tiTachMinDebDef_C,,,
,,DDRC_DurDeb.VehV_tiTachMinDebOk_C,,,
,,DDRC_DurDeb.VehV_tiTachSigDebDef_C,,,
,,DDRC_DurDeb.VehV_tiTachSigDebOk_C,,,
,,DDRC_RatDeb.Air_tiMaxTCACDsUDRat_C,,,
,,DDRC_RatDeb.Air_tiMinTCACDsUDRat_C,,,
,,DDRC_RatDeb.Air_tiPhysRngHiPIntkVUsUDRat_C,,,
,,DDRC_RatDeb.Air_tiPhysRngHiTCACDsUDRat_C,,,
,,DDRC_RatDeb.Air_tiPhysRngLoPIntkVUsUDRat_C,,,
,,DDRC_RatDeb.Air_tiPhysRngLoTCACDsUDRat_C,,,
,,DDRC_RatDeb.Air_tiPlsPIntkVUsUDRat_C,,,
,,DDRC_RatDeb.Air_tiSigTCACDsUDRat_C,,,
,,DDRC_RatDeb.APP_PlaAPPUDRat_C,,,
,,DDRC_RatDeb.APP_SyncAPPDblPotLISUDRat_C,,,
,,DDRC_RatDeb.App_tiKDPlausUDRat_C,,,
,,DDRC_RatDeb.BattU_tiMaxUDRat_C,,,
,,DDRC_RatDeb.BattU_tiMinUDRat_C,,,
,,DDRC_RatDeb.Brk_tiNplSngSwtUDRat_C,,,
,,DDRC_RatDeb.Brk_tiSigMnUDRat_C,,,
,,DDRC_RatDeb.Brk_tiSigRdntUDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiMaxUDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiMinUDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiOverT1UDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiOverT2UDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiOverT3UDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiPhysRngHiUDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiPhysRngLoUDRat_C,,,
,,DDRC_RatDeb.CEngDsT_tiSigUDRat_C,,,
,,DDRC_RatDeb.Clth_numPlaUDRat_C,,,
,,DDRC_RatDeb.Clth_tiSigUDRat_C,,,
,,DDRC_RatDeb.Com_tiDEC1RollgCntrErrUDRat_C,,,
,,DDRC_RatDeb.DASrvLib_tiUnusedUDRat_C,,,
,,DDRC_RatDeb.DevLib_tiBattUHiUDRat_C,,,
,,DDRC_RatDeb.DevLib_tiBattULoUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt0_tiOLUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt0_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt0_tiSCBUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt0_tiSCGUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt1_tiOLUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt1_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt1_tiSCBUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt1_tiSCGUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt2_tiOLUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt2_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt2_tiSCBUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt2_tiSCGUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt_tiMaxUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt_tiMinUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt_tiNplUDRat_C,,,
,,DDRC_RatDeb.DrvPrgSwt_tiSigUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiCurrLimUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiFailSafeActvUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiGovDvtCldUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgOpnLdUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgOvrCurrUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgOvrTempUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgShCirBatt1UDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgShCirBatt2UDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgShCirGnd1UDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgShCirGnd2UDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgShCirOvrLdUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgTempOvrCurrUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiHBrgUndrVltgUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiPhysSRCMaxUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiPhysSRCMinUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiSRCMaxUDRat_C,,,
,,DDRC_RatDeb.EGRVlv_tiSRCMinUDRat_C,,,
,,DDRC_RatDeb.EngDem_tiPrfmLimActUDRat_C,,,
,,DDRC_RatDeb.EngPrt_tiOvrSpdUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiAmbTempMonUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiMaxUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiMinUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiPhysRngHiUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiPhysRngLoUDRat_C,,,
,,DDRC_RatDeb.EnvT_tiSigUDRat_C,,,
,,DDRC_RatDeb.EpmSpdSig1_tiOLUDRat_C,,,
,,DDRC_RatDeb.EpmSpdSig1_tiOTUDRat_C,,,
,,DDRC_RatDeb.EpmSpdSig1_tiSCBUDRat_C,,,
,,DDRC_RatDeb.EpmSpdSig1_tiSCGUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiMILOLUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiMILOvrTempUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiMILSCBUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiMILSCGUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiSVSOLUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiSVSOvrTempUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiSVSSCBUDRat_C,,,
,,DDRC_RatDeb.ErrLmp_tiSVSSCGUDRat_C,,,
,,DDRC_RatDeb.FlFwLvl_tiSRCMaxUDRat_C,,,
,,DDRC_RatDeb.FlFwLvl_tiSRCMinUDRat_C,,,
,,DDRC_RatDeb.FlWLmp_tiOLUDRat_C,,,
,,DDRC_RatDeb.FlWLmp_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.FlWLmp_tiSCBUDRat_C,,,
,,DDRC_RatDeb.FlWLmp_tiSCGUDRat_C,,,
,,DDRC_RatDeb.FuelT_tiPhysRngHiUDRat_C,,,
,,DDRC_RatDeb.FuelT_tiPhysRngLoUDRat_C,,,
,,DDRC_RatDeb.FuelT_tiSRCMaxUDRat_C,,,
,,DDRC_RatDeb.FuelT_tiSRCMinUDRat_C,,,
,,DDRC_RatDeb.GbxNPos_tiSigUDRat_C,,,
,,DDRC_RatDeb.GlwLmp_tiOLUDRat_C,,,
,,DDRC_RatDeb.GlwLmp_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.GlwLmp_tiSCBUDRat_C,,,
,,DDRC_RatDeb.GlwLmp_tiSCGUDRat_C,,,
,,DDRC_RatDeb.IAirHt_tiOLUDRat_C,,,
,,DDRC_RatDeb.IAirHt_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.IAirHt_tiSCBUDRat_C,,,
,,DDRC_RatDeb.IAirHt_tiSCGUDRat_C,,,
,,DDRC_RatDeb.InjUn_tiStrtTstUDRat_C,,,
,,DDRC_RatDeb.InjVlv_numDcDcUDRat_C,,,
,,DDRC_RatDeb.InjVlv_numNoLdUDRat_C,,,
,,DDRC_RatDeb.InjVlv_numScBnkUDRat_C,,,
,,DDRC_RatDeb.InjVlv_numScCylUDRat_C,,,
,,DDRC_RatDeb.InjVlv_numScHsLsUDRat_C,,,
,,DDRC_RatDeb.IntkAirT_tiSRCMaxTIntkVUsUDRat_C,,,
,,DDRC_RatDeb.IntkAirT_tiSRCMinTIntkVUsUDRat_C,,,
,,DDRC_RatDeb.MeUn_tiOLUDRat_C,,,
,,DDRC_RatDeb.MeUn_tiOTUDRat_C,,,
,,DDRC_RatDeb.MeUn_tiSCBUDRat_C,,,
,,DDRC_RatDeb.MeUn_tiSCGUDRat_C,,,
,,DDRC_RatDeb.Oil_tiMaxTUDRat_C,,,
,,DDRC_RatDeb.Oil_tiMinPUDRat_C,,,
,,DDRC_RatDeb.Oil_tiMinTUDRat_C,,,
,,DDRC_RatDeb.Oil_tiNplHighTUDRat_C,,,
,,DDRC_RatDeb.Oil_tiNplPUDRat_C,,,
,,DDRC_RatDeb.Oil_tiPhysRngHiPSwmpUDRat_C,,,
,,DDRC_RatDeb.Oil_tiPhysRngLoPSwmpUDRat_C,,,
,,DDRC_RatDeb.Oil_tiSigPSwmpUDRat_C,,,
,,DDRC_RatDeb.Oil_tiSigTUDRat_C,,,
,,DDRC_RatDeb.Oil_tiSRCMaxPSwmpUDRat_C,,,
,,DDRC_RatDeb.Oil_tiSRCMinPSwmpUDRat_C,,,
,,DDRC_RatDeb.OilPLmp_tiOLUDRat_C,,,
,,DDRC_RatDeb.OilPLmp_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.OilPLmp_tiSCBUDRat_C,,,
,,DDRC_RatDeb.OilPLmp_tiSCGUDRat_C,,,
,,DDRC_RatDeb.OilSwmpT_tiOverT1UDRat_C,,,
,,DDRC_RatDeb.OilSwmpT_tiOverT2UDRat_C,,,
,,DDRC_RatDeb.OilT_tiPhysRngHiUDRat_C,,,
,,DDRC_RatDeb.OilT_tiPhysRngLoUDRat_C,,,
,,DDRC_RatDeb.PIntkVUs_tiLineHiB1UDRat_C,,,
,,DDRC_RatDeb.PIntkVUs_tiLineLoB1UDRat_C,,,
,,DDRC_RatDeb.RailP_tiSRCMaxUDRat_C,,,
,,DDRC_RatDeb.RailP_tiSRCMinUDRat_C,,,
,,DDRC_RatDeb.Strt_tiCoilHSSCBUDRat_C,,,
,,DDRC_RatDeb.Strt_tiDummyUDRat_C,,,
,,DDRC_RatDeb.Strt_tiHSOvrTempUDRat_C,,,
,,DDRC_RatDeb.Strt_tiHSSCBUDRat_C,,,
,,DDRC_RatDeb.Strt_tiHSSCGUDRat_C,,,
,,DDRC_RatDeb.Strt_tiLSOvrTempUDRat_C,,,
,,DDRC_RatDeb.Strt_tiLSSCBUDRat_C,,,
,,DDRC_RatDeb.Strt_tiLSSCGUDRat_C,,,
,,DDRC_RatDeb.Strt_tiOLUDRat_C,,,
,,DDRC_RatDeb.T50_tiErrUDRat_C,,,
,,DDRC_RatDeb.TCD_tiBstPrtTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiEngPrtTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiInjSysTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiLimInfoUDRat_C,,,
,,DDRC_RatDeb.TCD_tiNTCTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiPDiffTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiPrfmLimTrqLimUDRat_C,,,
,,DDRC_RatDeb.TCD_tiSmkTrqLimUDRat_C,,,
,,DDRC_RatDeb.TClntDspl_tiOLUDRat_C,,,
,,DDRC_RatDeb.TClntDspl_tiOvrTempUDRat_C,,,
,,DDRC_RatDeb.TClntDspl_tiSCBUDRat_C,,,
,,DDRC_RatDeb.TClntDspl_tiSCGUDRat_C,,,
,,DDRC_RatDeb.TECU_tiPhysRngChkHiUDRat_C,,,
,,DDRC_RatDeb.TECU_tiPhysRngChkLoUDRat_C,,,
,,DDRC_RatDeb.TECU_tiSnsrPlausUDRat_C,,,
,,DDRC_RatDeb.VehV_tiMaxUDRat_C,,,
,,DDRC_RatDeb.VehV_tiPhysRngHiUDRat_C,,,
,,DDRC_RatDeb.VehV_tiPhysRngLoUDRat_C,,,
,,DDRC_RatDeb.VehV_tiPlaUDRat_C,,,
,,DDRC_RatDeb.VehV_tiSigUDRat_C,,,
,,DDRC_RatDeb.VehV_tiSRCHiUDRat_C,,,
,,DDRC_RatDeb.VehV_tiSRCLoUDRat_C,,,
,,DDRC_RatDeb.VehV_tiSRCNplUDRat_C,,,
,,DDRC_RatDeb.VehV_tiTachMaxUDRat_C,,,
,,DDRC_RatDeb.VehV_tiTachMinUDRat_C,,,
,,DDRC_RatDeb.VehV_tiTachSigUDRat_C,,,
,,DevLib_BattThd.BattHiHysHi_C,,,
,,DevLib_BattThd.BattHiHysLo_C,,,
,,DevLib_BattThd.BattLoHysHi_C,,,
,,DevLib_BattThd.BattLoHysLo_C,,,
,,DevLib_DigOutDbgSig_C,,,
,,DevLib_nActrRls_C,,,
,,Devlib_PsDisbl.facHighHysHi_C,,,
,,Devlib_PsDisbl.facHighHysLo_C,,,
,,Devlib_PsDisbl.facLowHysHi_C,,,
,,Devlib_PsDisbl.facLowHysLo_C,,,
,,DevLib_PWMOutDbgSig_C,,,
,,Devlib_PwrStg.BattHiHysHi_C,,,
,,Devlib_PwrStg.BattHiHysLo_C,,,
,,Devlib_PwrStg.BattLoHysHi_C,,,
,,Devlib_PwrStg.BattLoHysLo_C,,,
,,DevLib_tiActrPrt_C,,,
,,DevLib_tiActrPrtOPR_C,,,
,,DFC_CtlMsk.DFC_AfterrunBegin_C,,,
,,DFC_CtlMsk.DFC_AfterrunClose_C,,,
,,DFC_CtlMsk.DFC_AfterrunTimeOut_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovDvtEOMMax_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovDvtEOMMin_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovDvtMax_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovDvtMin_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovrDeMilTqLimrMax_C,,,
,,DFC_CtlMsk.DFC_AirCtlGovrDeMilTqLimrMin_C,,,
,,DFC_CtlMsk.DFC_AirCtlRmpTOut_C,,,
,,DFC_CtlMsk.DFC_AirCtlTiToCtl_C,,,
,,DFC_CtlMsk.DFC_AirCtlTiToStrtCtl_C,,,
,,DFC_CtlMsk.DFC_AirHtStickOn_C,,,
,,DFC_CtlMsk.DFC_AppCanSigErr_C,,,
,,DFC_CtlMsk.DFC_AppCanSigQlyErr_C,,,
,,DFC_CtlMsk.DFC_APPPlausBrk_C,,,
,,DFC_CtlMsk.DFC_BattUSRCMax_C,,,
,,DFC_CtlMsk.DFC_BattUSRCMin_C,,,
,,DFC_CtlMsk.DFC_BattUStdbyDiaOL_C,,,
,,DFC_CtlMsk.DFC_BrkNpl_C,,,
,,DFC_CtlMsk.DFC_BrkNplSngSwt_C,,,
,,DFC_CtlMsk.DFC_BrkSigMn_C,,,
,,DFC_CtlMsk.DFC_BrkSigRdnt_C,,,
,,DFC_CtlMsk.DFC_CAN_E_TIMEOUT_C,,,
,,DFC_CtlMsk.DFC_CEngDsTOverT1_C,,,
,,DFC_CtlMsk.DFC_CEngDsTOverT2_C,,,
,,DFC_CtlMsk.DFC_CEngDsTOverT3_C,,,
,,DFC_CtlMsk.DFC_CEngDsTPhysRngHi_C,,,
,,DFC_CtlMsk.DFC_CEngDsTPhysRngLo_C,,,
,,DFC_CtlMsk.DFC_CEngDsTSig_C,,,
,,DFC_CtlMsk.DFC_CEngDsTSRCMax_C,,,
,,DFC_CtlMsk.DFC_CEngDsTSRCMin_C,,,
,,DFC_CtlMsk.DFC_CEngDsTVDPlaus_C,,,
,,DFC_CtlMsk.DFC_ClthNpl_C,,,
,,DFC_CtlMsk.DFC_ClthSig_C,,,
,,DFC_CtlMsk.DFC_ComAPPMaxErr_C,,,
,,DFC_CtlMsk.DFC_ComAPPTO_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1ACCE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1ACCR_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1AE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1AR_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1DE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1DR_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1PE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1TE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1TR_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1VE_C,,,
,,DFC_CtlMsk.DFC_ComChkTSC1VR_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1ACCE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1ACCR_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1AE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1AR_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1DE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1DR_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1PE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1TE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1TR_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1VE_C,,,
,,DFC_CtlMsk.DFC_ComCtrTSC1VR_C,,,
,,DFC_CtlMsk.DFC_ComDEC1RollgCntrChksErr_C,,,
,,DFC_CtlMsk.DFC_ComDlcAMB_C,,,
,,DFC_CtlMsk.DFC_ComDlcCIRXACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcCM1_C,,,
,,DFC_CtlMsk.DFC_ComDlcDD_C,,,
,,DFC_CtlMsk.DFC_ComDlcDEC1_C,,,
,,DFC_CtlMsk.DFC_ComDlcDM13_C,,,
,,DFC_CtlMsk.DFC_ComDlcDM5Rx_C,,,
,,DFC_CtlMsk.DFC_ComDlcEBC1_C,,,
,,DFC_CtlMsk.DFC_ComDlcEBC2_C,,,
,,DFC_CtlMsk.DFC_ComDlcETC1_C,,,
,,DFC_CtlMsk.DFC_ComDlcHRWS_C,,,
,,DFC_CtlMsk.DFC_ComDlcPGNRQ_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXCCVS_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC1BAM_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC1PACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC2BAM_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC2PACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC3BAM_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC3PACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC4BAM_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC4PACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC5BAM_C,,,
,,DFC_CtlMsk.DFC_ComDlcRXSRC5PACK_C,,,
,,DFC_CtlMsk.DFC_ComDlcTCO1_C,,,
,,DFC_CtlMsk.DFC_ComDlcTIMEDATE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1ACCE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1ACCR_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1AE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1AR_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1DE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1DR_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1PE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1TE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1TR_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1VE_C,,,
,,DFC_CtlMsk.DFC_ComDlcTSC1VR_C,,,
,,DFC_CtlMsk.DFC_ComEngShOffEBC1_C,,,
,,DFC_CtlMsk.DFC_ComFDTO_C,,,
,,DFC_CtlMsk.DFC_COMM_E_NET_START_IND_CHANNEL_0_C,,,
,,DFC_CtlMsk.DFC_COMM_E_NET_START_IND_CHANNEL_1_C,,,
,,DFC_CtlMsk.DFC_COMM_E_NET_START_IND_CHANNEL_2_C,,,
,,DFC_CtlMsk.DFC_ComRemAPPMaxErr_C,,,
,,DFC_CtlMsk.DFC_ComRemAPPTO_C,,,
,,DFC_CtlMsk.DFC_ComRxDM5DLC_C,,,
,,DFC_CtlMsk.DFC_ComRxDM5TO_C,,,
,,DFC_CtlMsk.DFC_ComT50StMaxErr_C,,,
,,DFC_CtlMsk.DFC_ComToAMB_C,,,
,,DFC_CtlMsk.DFC_ComToCIRXACK_C,,,
,,DFC_CtlMsk.DFC_ComToCM1_C,,,
,,DFC_CtlMsk.DFC_ComToDD_C,,,
,,DFC_CtlMsk.DFC_ComToDEC1_C,,,
,,DFC_CtlMsk.DFC_ComToDM13_C,,,
,,DFC_CtlMsk.DFC_ComToDM5Rx_C,,,
,,DFC_CtlMsk.DFC_ComToEBC1_C,,,
,,DFC_CtlMsk.DFC_ComToEBC2_C,,,
,,DFC_CtlMsk.DFC_ComToETC1_C,,,
,,DFC_CtlMsk.DFC_ComToHRWS_C,,,
,,DFC_CtlMsk.DFC_ComToPGNRQ_C,,,
,,DFC_CtlMsk.DFC_ComToRXCCVS_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC1BAM_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC1PACK_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC2BAM_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC2PACK_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC3BAM_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC3PACK_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC4BAM_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC4PACK_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC5BAM_C,,,
,,DFC_CtlMsk.DFC_ComToRXSRC5PACK_C,,,
,,DFC_CtlMsk.DFC_ComToTCO1_C,,,
,,DFC_CtlMsk.DFC_ComToTIMEDATE_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1ACCE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ACCEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ACCEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1ACCR_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ACCRAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ACCRPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1AE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1AEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1AEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1AR_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ARAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1ARPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1DE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1DEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1DEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1DR_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1DRAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1DRPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1PE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1PEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1PEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1TE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1TEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1TEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1TR_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1TRAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1TRPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1VE_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1VEAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1VEPas_C,,,
,,DFC_CtlMsk.DFC_ComToTSC1VR_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1VRAct_C,,,
,,DFC_CtlMsk.DFC_ComTOTSC1VRPas_C,,,
,,DFC_CtlMsk.DFC_CrpModeActv_C,,,
,,DFC_CtlMsk.DFC_DASrvLibUnused_C,,,
,,DFC_CtlMsk.DFC_DevLibBattUHi_C,,,
