,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
1,-0.01937929,0.003723799,0.007530825,-0.042679258,-0.012700731,-0.04904745,-0.026883725,-0.081756194,-0.057463617,-0.032583241,-0.022119517,-0.037205023,-0.019325476
,,,,,,,,,,,,,
2,0.083259983,0.093013183,0.077263204,0.106626528,0.061283182,0.066842646,0.040052169,0.033690295,0.022504581,0.010712968,0.008182613,-0.003108497,0.000580186
,,,,,,,,,,,,,
3,0.185899255,0.182302567,0.146995582,0.255932314,0.135267096,0.182732743,0.106988064,0.149136783,0.10247278,0.054009176,0.038484743,0.03098803,0.020485848
,,,,,,,,,,,,,
4,0.288538528,0.271591951,0.216727961,0.4052381,0.209251009,0.29862284,0.173923958,0.264583272,0.182440979,0.097305384,0.068786873,0.065084556,0.04039151
,,,,,,,,,,,,,
5,16.71258665,0.998780564,0.879925438,0.263412806,0.423754273,1.310803872,0.481069221,0.901848058,0.139999323,0.183888852,0.17853608,0.165356966,0.119423032
,,,,,,,,,,,,,
6,0,0,-8.158165214,2.707695094,2.185283378,-231.2281364,1.245395756,0.994019266,0.31667928,0.319614181,0.296134348,0.3618112,0.448269028
,,,,,,,,,,,,,
7,0,0,0,-9.295766889,-12.448657,16.32086761,0.227699802,4.595304114,0.634900781,0.454463454,0.429415929,0.464499917,0.420996813
,,,,,,,,,,,,,
8,0,0,0,0,0,0,0,5.878297337,0.919369086,0.134530428,0.527550706,0.371796125,0.537545318
,,,,,,,,,,,,,
9,0,0,0,0,0,0,0,1.913875111,19.22096471,0.55740767,1.061688207,0.957286869,0.639388263
,,,,,,,,,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,7.774600549,0.3043535
